u,v,key,aadt
49184747,49198976,0,13037.0
49190879,7133191832,0,4658.0
49198976,3900798861,0,13037.0
49715918,49766643,0,25389.0
49715918,12220728708,0,25389.0
49715951,49790311,0,2739.0
49715951,49825390,0,2739.0
49715974,49837513,0,8010.0
49715981,49789329,0,24223.0
49715981,49789333,0,24223.0
49716102,49825798,0,13644.0
49716102,775926224,0,13644.0
49716159,49782773,0,8244.0
49716191,49784971,0,5946.0
49716541,49716545,0,20282.0
49716541,640614344,0,20282.0
49716545,49716541,0,20282.0
49716545,49716549,0,20282.0
49716575,49716549,0,20282.0
49716575,49716589,0,20282.0
49716602,49716589,0,20282.0
49716602,49716610,0,20282.0
49716602,49793311,0,2687.0
49716602,49866317,0,3670.0
49716610,640614223,0,20282.0
49716672,49716675,0,2430.0
49716680,49716675,0,2430.0
49716680,49738698,0,15690.0
49716680,641965013,0,5978.0
49716928,13259893926,0,3033.0
49716932,49716936,0,2663.0
49716932,49827240,0,5134.0
49716936,49716938,0,2663.0
49716938,10020947573,0,2663.0
49717030,49775807,1,11315.0
49717073,49717030,0,11315.0
49717226,49745129,0,18804.0
49717262,49774120,0,31584.0
49717370,49779907,0,7490.0
49717411,644537712,0,16772.0
49717411,1458420676,0,16772.0
49717477,1381210497,0,6659.0
49717490,49727637,0,12519.0
49717490,49728917,0,12519.0
49717595,49717599,0,9202.0
49717612,49791583,0,3387.0
49717612,3005713074,0,14331.0
49717954,3744956565,0,8613.0
49717969,49717965,0,4572.0
49717975,49718509,0,4851.0
49717981,49717975,0,8062.0
49718011,49720114,0,6141.0
49718011,3277475100,0,6141.0
49718413,49759164,0,25167.0
49718509,49723816,0,4851.0
49718716,49734631,0,2322.0
49718775,49743898,0,25607.0
49718775,49743902,0,25607.0
49718816,49749954,0,11934.0
49718816,49750009,0,11934.0
49718816,49760803,0,15759.0
49718911,49718928,0,4288.0
49718928,5564258806,0,17941.0
49719235,49719230,0,70091.0
49719266,9587901829,0,13644.0
49719415,706911255,0,3360.0
49719415,1362307924,0,11474.0
49719416,49797678,0,17564.0
49719425,11198440879,0,17681.0
49719533,49768161,0,5987.0
49719539,49719533,0,379.0
49719539,49772864,0,2513.0
49719539,49825505,0,2513.0
49719895,49771208,0,10581.0
49719895,4561710230,0,10581.0
49719902,4561710230,0,14452.0
49720010,646229618,0,18968.0
49720056,49761678,0,14940.0
49720056,49761684,0,14940.0
49720155,49849857,0,10085.0
49720155,642421191,0,9808.0
49720215,641119742,0,18281.0
49720239,2616277023,0,2625.0
49720271,3372235101,0,17125.0
49720292,49720239,0,2625.0
49720292,49796605,0,2230.0
49720590,642436243,0,61694.0
49720844,647058100,0,400.0
49720844,647081858,0,41562.0
49721268,2456351023,0,2945.0
49721277,49789467,0,1663.0
49721277,49850735,0,6853.0
49721281,49741023,0,4286.0
49721610,638915905,0,14991.0
49721699,49723981,0,6055.0
49721699,49762510,0,5985.0
49721760,49721776,0,7686.0
49721776,639446418,0,11022.0
49722137,49739655,0,8244.0
49722454,655662483,0,13980.0
49722458,1233276142,0,3262.0
49722505,49785819,0,9240.0
49722744,642604582,0,16423.0
49722787,2664170695,0,4071.0
49722994,49782141,0,20428.0
49722994,633923743,0,11893.0
49723005,49730008,0,2706.0
49723017,1440867117,0,3287.0
49723081,49743490,0,8245.0
49723126,49830920,0,3716.0
49723133,49841785,0,16423.0
49723134,49777167,0,12702.0
49723134,4643541070,0,12702.0
49723161,13699194719,0,2767.0
49723309,49734716,0,4567.0
49723309,49742545,0,4567.0
49723515,49888946,0,9240.0
49723516,49800642,0,20562.0
49723519,49745923,0,9240.0
49723519,49749203,0,9240.0
49723539,2099955610,0,7163.0
49723592,49716007,0,2918.0
49723592,49790344,0,2918.0
49723815,49772535,0,4851.0
49723816,49723815,0,4851.0
49723981,639446397,0,117122.0
49724031,49759828,0,12819.0
49724031,1360061299,0,12819.0
49724092,49717801,0,147295.0
49724179,49724092,0,20932.0
49724179,655661924,0,14755.0
49724259,13666070323,0,11306.0
49724285,49743686,0,12962.0
49724285,49744591,0,4218.0
49724289,49724285,0,4218.0
49724289,49743686,0,17618.0
49724289,49746706,0,17618.0
49724366,642586562,0,27482.0
49724366,13265637013,0,46742.0
49724384,49734797,0,5987.0
49724384,49859579,0,3169.0
49724752,49751716,0,6680.0
49724754,49724752,0,6680.0
49724754,49751675,0,6680.0
49725576,49748184,0,11187.0
49725576,3001253763,0,11629.0
49726196,641056144,0,25088.0
49726250,638210869,0,25088.0
49726318,49726338,0,510.0
49726338,49748328,0,13242.0
49726341,49826564,0,2641.0
49726341,655442844,0,2641.0
49726402,49727521,0,7361.0
49726402,49801532,0,7361.0
49726558,49802221,0,3495.0
49726558,3657251445,0,3495.0
49726613,49811686,0,7347.0
49726626,3372443372,0,5216.0
49726626,3372448432,0,1008.0
49726875,487046296,0,32788.0
49726882,49728813,0,19818.0
49726882,3001694510,0,14755.0
49726946,49739260,0,4696.0
49727435,1574598092,0,9968.0
49727438,49727435,0,9968.0
49727447,49759074,0,8450.0
49727452,49727447,0,6931.0
49727452,49853581,0,7556.0
49727453,49727452,0,6931.0
49727521,49763283,0,7361.0
49727637,9093791451,0,54608.0
49727708,3608370821,0,24838.0
49727748,49727708,0,1093.0
49727748,49727773,0,1612.0
49727785,49727708,0,24838.0
49727785,49727748,0,518.0
49727929,49719416,0,4332.0
49728175,642818418,0,2892.0
49728201,5192159439,0,9968.0
49728646,49892770,0,120867.0
49728756,49737508,0,6911.0
49728813,49796744,0,5184.0
49728817,49776985,0,25092.0
49728879,641899767,0,7312.0
49728917,49717490,0,12519.0
49728922,5235719627,0,7556.0
49729003,49726196,0,10248.0
49729003,10014085266,0,11973.0
49729205,49748273,0,13242.0
49729205,10118411571,0,36570.0
49729407,49769434,0,33643.0
49729507,49734195,0,9046.0
49729551,646202862,0,22775.0
49729677,1645991534,0,24176.0
49729679,49770656,0,13076.0
49729688,49781553,0,3239.0
49729688,3874958856,0,3239.0
49729711,49741751,0,2513.0
49729711,49826421,0,2513.0
49729731,49729752,0,7255.0
49729731,49812677,0,4957.0
49729752,49728175,0,10067.0
49729752,49779939,0,10067.0
49729772,11198100601,0,18212.0
49729831,633969379,0,10581.0
49729890,49732286,0,28082.0
49729890,49748733,0,28082.0
49729902,49762355,0,1453.0
49729902,3001288930,0,1453.0
49730129,49729135,0,3166.0
49730129,49846154,0,5493.0
49730227,49754457,0,9982.0
49730227,3010914572,0,9982.0
49730229,49880689,0,112688.0
49730251,49730229,0,8017.0
49730297,49768712,0,14902.0
49730297,1375406091,0,14902.0
49730313,638898961,0,18212.0
49730319,49782077,0,8432.0
49730806,49782349,0,9819.0
49730806,49782363,0,9819.0
49730820,49840739,0,11315.0
49730863,49745405,0,9751.0
49730863,3370866978,0,24838.0
49730878,3370866971,0,1347.0
49730888,49760333,0,10624.0
49730919,49773921,0,4385.0
49730919,9592649118,0,266.0
49730947,49768887,0,7312.0
49730947,641899748,0,7312.0
49730969,49803048,0,6724.0
49731194,49731188,0,2513.0
49731206,647087532,0,2513.0
49731251,49868295,0,5064.0
49731251,49868538,0,5064.0
49731284,1489216476,0,1884.0
49731303,49732126,0,7055.0
49731325,641119722,0,49911.0
49731325,641119742,0,5746.0
49731467,49785947,0,19993.0
49731508,641068023,0,28662.0
49731509,49796970,0,16423.0
49731509,49841654,0,16423.0
49731541,49794479,0,4123.0
49731544,49774932,0,6854.0
49731544,49774952,0,6854.0
49731575,49731559,0,7356.0
49731579,647084282,0,41053.0
49731621,49745384,0,9751.0
49731621,3370866946,0,2918.0
49731654,49738582,0,29140.0
49731670,3005851841,0,14874.0
49731699,49731670,0,3676.0
49731699,13270967989,0,9510.0
49731754,49798869,0,11549.0
49731757,3656197331,0,13723.0
49731762,1443726989,0,2741.0
49732017,49850751,0,8994.0
49732026,49850749,0,1452.0
49732042,49732026,0,1452.0
49732114,49858507,0,3108.0
49732126,49760126,0,2000.0
49732129,49737471,0,17125.0
49732129,1458431777,0,17125.0
49732193,49732211,0,3201.0
49732193,3301217705,0,4071.0
49732211,49773560,0,27257.0
49732241,49776772,0,5268.0
49732272,49732411,0,14991.0
49732272,49757359,0,14991.0
49732286,520072065,0,29549.0
49732288,49741203,0,5895.0
49732288,1109925312,0,5895.0
49732363,642701960,0,2676.0
49732368,49721610,0,14991.0
49732368,647053707,0,14991.0
49732411,49732272,0,14991.0
49732411,49741203,0,14991.0
49732416,49732411,0,10429.0
49732422,13179482138,0,2686.0
49732428,49764451,0,10009.0
49732428,49824135,0,24908.0
49732428,49843037,0,24908.0
49732524,49839825,0,3634.0
49732524,49868291,0,3634.0
49732698,9647671192,0,13932.0
49732698,13260160411,0,13932.0
49732805,49740649,0,6678.0
49732805,49796711,0,6678.0
49732854,49764163,0,10466.0
49732884,647069230,0,11937.0
49732907,49755851,0,12764.0
49732919,9647671194,0,13507.0
49733323,49787219,0,9240.0
49733323,49810220,0,9240.0
49733709,3000138151,0,18891.0
49733709,3010525228,0,147295.0
49733721,49733731,0,5942.0
49733966,49717245,0,30149.0
49733966,49717262,0,31584.0
49734010,49750770,0,997.0
49734077,49748678,0,17923.0
49734102,49734101,0,19446.0
49734104,49734107,0,2465.0
49734104,3012829798,0,16748.0
49734107,49773544,0,2465.0
49734130,49764321,0,7317.0
49734137,7802243126,0,34015.0
49734140,49734142,0,2334.0
49734142,49758241,0,2334.0
49734195,49744693,0,9046.0
49734407,49793999,0,4297.0
49734407,900114288,0,4297.0
49734413,49734414,0,3414.0
49734413,1443727020,0,3414.0
49734414,49773840,0,3414.0
49734492,1439840033,0,12519.0
49734573,49743242,0,15964.0
49734615,49788678,0,5876.0
49734616,1804420112,0,9828.0
49734618,49745693,0,9828.0
49734619,49734618,0,9828.0
49734621,49734622,0,9828.0
49734622,49745650,0,9828.0
49734628,49783186,0,3869.0
49734728,49723217,0,13644.0
49734728,49734716,0,13644.0
49734729,49795799,0,3623.0
49734737,3379821559,0,14902.0
49734797,49763571,0,5987.0
49735022,642586818,0,17459.0
49735030,49724366,0,12792.0
49735031,49748853,0,4511.0
49735031,49883050,0,4511.0
49735074,49735031,0,3251.0
49735119,49765549,0,11932.0
49735125,49739424,0,2395.0
49735125,49739436,0,2395.0
49735130,49790301,0,6826.0
49735130,1014102329,0,6826.0
49735150,49801263,0,2739.0
49735154,49818855,0,6826.0
49735286,8434554376,0,9001.0
49735318,49740996,0,1367.0
49735322,49737105,0,1367.0
49735322,49769913,0,1347.0
49735831,49849919,0,2706.0
49735888,49751474,0,6988.0
49736712,49796744,0,5184.0
49737457,49840387,0,5895.0
49737471,49821610,0,17125.0
49737482,1364989367,0,27223.0
49737508,49762563,0,118471.0
49737722,49732327,0,3176.0
49737731,5521303041,0,24176.0
49737885,49774851,0,6854.0
49737931,49784141,0,6404.0
49738041,49750861,0,14326.0
49738041,3007762954,0,28644.0
49738066,49739172,0,94406.0
49738129,49777871,0,7719.0
49738305,49742388,0,4286.0
49738305,11198005518,0,1884.0
49738311,49744848,0,2676.0
49738540,642885426,0,24838.0
49738582,49738540,0,1083.0
49738698,3000712324,0,15690.0
49738746,49777288,0,4430.0
49738746,522279711,0,2435.0
49738769,49812451,0,10886.0
49738826,646216756,0,3888.0
49738932,49743563,0,2978.0
49738932,1443727117,0,3473.0
49738943,49770899,0,16608.0
49739046,9099950062,0,1822.0
49739137,642043942,0,3893.0
49739169,49824916,0,2780.0
49739172,49840688,0,2173.0
49739260,49726946,0,7361.0
49739260,49790389,0,4696.0
49739277,49780038,0,10665.0
49739277,49796955,0,10665.0
49739286,49743895,0,25607.0
49739298,49749416,0,4253.0
49739319,49807054,0,6077.0
49739319,49831519,0,6077.0
49739331,1365013790,0,2395.0
49739335,49739331,0,2395.0
49739335,49739338,0,2395.0
49739335,49806797,0,11721.0
49739338,49739335,0,11721.0
49739347,49739338,0,2395.0
49739350,49739347,0,2395.0
49739350,49739355,0,2395.0
49739355,49739360,0,2395.0
49739365,49739360,0,2395.0
49739365,49739399,0,2395.0
49739399,49758395,0,9819.0
49739399,49782380,0,9819.0
49739410,49739399,0,2395.0
49739410,49739423,0,2395.0
49739423,49739424,0,2395.0
49739424,49739423,0,2395.0
49739436,49739443,0,2395.0
49739443,49739436,0,2395.0
49739443,49739448,0,2395.0
49739448,3375563969,0,2395.0
49739465,49739469,0,2395.0
49739465,49747311,0,14991.0
49739465,3375563969,0,2395.0
49739469,644504509,0,2395.0
49739554,49825798,0,13644.0
49739554,1458870814,0,13644.0
49739559,49772296,0,2577.0
49739559,49883573,0,7556.0
49739564,49739559,0,1884.0
49739565,49739564,0,1884.0
49739577,49738305,0,1884.0
49739577,49744854,0,3339.0
49739585,49739577,0,1884.0
49739593,49889442,0,1884.0
49739596,49739593,0,1884.0
49739598,49739596,0,1884.0
49739600,49739598,0,1884.0
49739603,49739600,0,1884.0
49739609,49739603,0,1884.0
49739609,49774098,0,20858.0
49739633,49793211,0,14902.0
49739633,2428510053,0,1884.0
49739655,49782827,0,8244.0
49739830,965766226,0,4368.0
49739903,49777892,0,3125.0
49739937,49825905,0,4008.0
49739937,3670782184,0,4008.0
49740074,49716928,0,3033.0
49740082,49740100,0,3033.0
49740100,965766236,0,3033.0
49740160,49763666,0,2036.0
49740160,5291674142,0,7953.0
49740162,2099955610,0,7953.0
49740210,5291674142,0,7953.0
49740244,49769187,0,2114.0
49740244,49856113,0,17564.0
49740244,3672563449,0,17564.0
49740384,2765475202,0,25412.0
49740435,49759518,0,6219.0
49740435,6799358586,0,6219.0
49740448,49821658,0,6883.0
49740539,49833568,0,7568.0
49740557,49722505,0,9240.0
49740585,49757574,0,5427.0
49740620,49783034,0,5981.0
49740620,4059272468,0,5981.0
49740630,49776570,0,11641.0
49740630,3372235130,0,11641.0
49740634,49766633,0,25389.0
49740634,1013396313,0,25389.0
49740649,49732805,0,6678.0
49740649,49783068,0,6678.0
49740930,49740966,0,1367.0
49740966,49740996,0,1367.0
49740996,49740966,0,1367.0
49741014,49756881,0,7406.0
49741014,49773918,0,4312.0
49741014,49819386,0,7406.0
49741020,49741014,0,7280.0
49741023,49741020,0,7280.0
49741027,49741023,0,7280.0
49741027,2377417303,0,5432.0
49741033,9468883912,0,14166.0
49741038,49741037,0,3161.0
49741041,49741038,0,3161.0
49741043,49741041,0,3161.0
49741043,49794213,0,5288.0
49741052,49741043,0,3161.0
49741058,49741052,0,3161.0
49741069,49741058,0,3161.0
49741073,49741069,0,3161.0
49741076,49741073,0,3161.0
49741088,49819478,0,19386.0
49741088,11608896680,0,3161.0
49741107,49777245,0,4833.0
49741153,49741155,0,3647.0
49741153,49787536,0,1318.0
49741155,49741156,0,3647.0
49741157,49741156,0,3647.0
49741157,49741160,0,3647.0
49741163,1364989296,0,27223.0
49741165,49741163,0,10429.0
49741170,49741165,0,10429.0
49741173,49741170,0,10429.0
49741174,49741173,0,10429.0
49741174,49743552,0,2978.0
49741178,49741174,0,10429.0
49741178,49741179,0,10429.0
49741182,49741179,0,10429.0
49741182,49774952,0,11721.0
49741182,1443727126,0,11721.0
49741187,49741182,0,10429.0
49741203,49732416,0,5895.0
49741203,647053711,0,14991.0
49741274,49882753,0,7516.0
