strategy,fleet,mean_min,median_min,p95_min,ontime45_pct,peak19_mean_min,mean_cycle_min,utilization_pct,runtime_s
nac,100,592.04,532.02,1246.18,11.7,898.33,14.92,85.1,0.1
nac,150,287.16,261.08,605.88,13.4,421.39,14.9,76.0,0.1
nac,200,137.96,126.42,297.95,15.9,187.07,14.81,68.1,0.1
nac,300,55.12,46.62,123.4,48.3,78.24,15.34,53.0,0.1
nac,400,29.74,24.48,57.42,81.2,41.55,16.06,41.6,0.2
nac,500,21.59,21.05,30.43,100.0,23.85,17.51,36.3,0.2
nac,600,20.65,20.09,28.81,99.9,20.92,19.12,33.0,0.2
nac,800,20.55,20.01,28.69,99.9,20.8,20.53,26.6,0.2
swb,100,559.97,503.89,1177.13,11.8,848.65,14.19,83.1,0.1
swb,150,272.05,247.81,572.97,13.4,397.42,14.21,73.8,0.1
swb,200,129.01,118.78,278.55,17.3,173.0,14.25,66.3,0.1
swb,300,53.66,45.34,119.18,49.6,76.24,14.69,50.7,0.2
swb,400,29.88,25.07,56.42,81.8,41.43,15.21,39.4,0.2
swb,500,22.21,21.71,31.13,100.0,24.81,15.57,32.3,0.2
swb,600,21.34,20.85,29.66,100.0,22.44,15.86,27.4,0.3
swb,800,21.06,20.56,29.26,100.0,22.19,16.13,20.9,0.3
